Radar Value, Lidar Value
0,0
74.2445,0
74.2445,0.220189
1.82606,0.220189
1.82606,0.165901
7.34317,0.165901
7.34317,0.248805
5.69176,0.248805
5.69176,0.00451897
0.257056,0.00451897
0.257056,1.12427
1.39278,1.12427
1.39278,2.23825
4.0254,2.23825
4.0254,0.323881
1.75029,0.323881
1.75029,11.9581
1.22269,11.9581
1.22269,2.85864
1.91748,2.85864
1.91748,1.7584
3.4066,1.7584
3.4066,3.74355
0.360829,3.74355
0.360829,0.186176
2.12344,0.186176
2.12344,2.7138
5.21179,2.7138
5.21179,0.466307
2.18504,0.466307
2.18504,0.294266
6.99054,0.294266
6.99054,0.785346
6.80172,0.785346
6.80172,0.649295
4.50069,0.649295
4.50069,3.46548
5.13239,3.46548
5.13239,1.38208
3.50882,1.38208
3.50882,0.903576
2.13101,0.903576
2.13101,1.94764
0.642152,1.94764
0.642152,0.297402
1.63757,0.297402
1.63757,0.438145
0.737244,0.438145
0.737244,3.6238
3.04385,3.6238
3.04385,3.08718
11.7411,3.08718
11.7411,1.09269
0.248522,1.09269
0.248522,1.27275
1.17395,1.27275
1.17395,1.93131
3.85026,1.93131
3.85026,1.88133
3.08251,1.88133
3.08251,1.26485
0.822064,1.26485
0.822064,0.143527
1.74389,0.143527
1.74389,0.936982
0.566514,0.936982
0.566514,0.674205
4.0756,0.674205
4.0756,1.62397
1.28054,1.62397
1.28054,0.345284
2.59393,0.345284
2.59393,0.772947
0.763309,0.772947
0.763309,0.986232
0.941621,0.986232
0.941621,1.42285
0.354482,1.42285
0.354482,1.03458
0.752658,1.03458
0.752658,3.40113
3.6338,3.40113
3.6338,2.035
0.231145,2.035
0.231145,1.44028
2.16974,1.44028
2.16974,3.09231
0.430801,3.09231
0.430801,3.99779
0.879607,3.99779
0.879607,3.33183
2.3485,3.33183
2.3485,1.09787
7.41143,1.09787
7.41143,1.27795
3.17666,1.27795
3.17666,2.32446
5.00756,2.32446
5.00756,0.0196932
11.6733,0.0196932
11.6733,4.35093
3.33604,4.35093
3.33604,1.43582
3.99299,1.43582
3.99299,1.51922
2.05063,1.51922
2.05063,0.995776
1.30629,0.995776
1.30629,1.37725
1.01022,1.37725
1.01022,0.561337
1.48958,0.561337
1.48958,1.69579
3.18538,1.69579
3.18538,1.78298
8.7702,1.78298
8.7702,2.62605
1.1705,2.62605
